join_id,TMAS Station ID,TMAS Latitude,TMAS Longitude,TMAS Functional Class,time_period,time_value,total_crashes,fatal_crashes,serious_injuries,vehicle_count,traffic_observation_days,average_vehicle_count
315,000315,33.74291,-84.40256,1U,hour,12,4,0,0,3664080,353,10379.83
315,000315,33.74291,-84.40256,1U,hour,13,4,0,0,3823428,353,10831.24
315,000315,33.74291,-84.40256,1U,hour,14,7,0,0,4045687,353,11460.87
315,000315,33.74291,-84.40256,1U,hour,15,7,0,0,4358093,353,12345.87
315,000315,33.74291,-84.40256,1U,hour,16,13,0,1,4387110,353,12428.07
315,000315,33.74291,-84.40256,1U,hour,17,14,0,0,4258097,353,12062.6
315,000315,33.74291,-84.40256,1U,hour,18,9,0,0,3967452,353,11239.24
315,000315,33.74291,-84.40256,1U,hour,19,7,0,0,3477894,353,9852.39
315,000315,33.74291,-84.40256,1U,hour,20,8,0,0,3028052,353,8578.05
315,000315,33.74291,-84.40256,1U,hour,21,8,0,1,2626087,353,7439.34
315,000315,33.74291,-84.40256,1U,hour,22,7,0,1,2291779,353,6492.29
315,000315,33.74291,-84.40256,1U,hour,23,14,1,0,1820766,353,5157.98
322,000322,33.80709,-84.37974,1U,hour,0,8,0,0,1605005,365,4397.27
322,000322,33.80709,-84.37974,1U,hour,1,0,0,0,1029358,365,2820.16
322,000322,33.80709,-84.37974,1U,hour,2,0,0,0,797404,365,2184.67
322,000322,33.80709,-84.37974,1U,hour,3,8,1,1,773820,365,2120.05
322,000322,33.80709,-84.37974,1U,hour,4,1,0,0,1024033,365,2805.57
322,000322,33.80709,-84.37974,1U,hour,5,4,0,0,2222185,365,6088.18
322,000322,33.80709,-84.37974,1U,hour,6,5,0,0,3892113,365,10663.32
322,000322,33.80709,-84.37974,1U,hour,7,6,0,0,4608854,365,12627.0
322,000322,33.80709,-84.37974,1U,hour,8,12,0,0,4644878,365,12725.69
322,000322,33.80709,-84.37974,1U,hour,9,12,0,0,4713319,365,12913.2
322,000322,33.80709,-84.37974,1U,hour,10,6,0,0,4815344,365,13192.72
322,000322,33.80709,-84.37974,1U,hour,11,5,0,0,4898950,365,13421.78
322,000322,33.80709,-84.37974,1U,hour,12,12,0,1,4991874,365,13676.37
322,000322,33.80709,-84.37974,1U,hour,13,6,0,0,5004686,365,13711.47
322,000322,33.80709,-84.37974,1U,hour,14,17,0,0,5043413,365,13817.57
322,000322,33.80709,-84.37974,1U,hour,15,7,0,0,5049814,365,13835.11
322,000322,33.80709,-84.37974,1U,hour,16,12,0,0,4943862,365,13544.83
322,000322,33.80709,-84.37974,1U,hour,17,21,0,0,4908268,365,13447.31
322,000322,33.80709,-84.37974,1U,hour,18,16,0,0,4866989,365,13334.22
322,000322,33.80709,-84.37974,1U,hour,19,16,0,2,4613201,365,12638.91
322,000322,33.80709,-84.37974,1U,hour,20,7,0,0,4037631,365,11062.0
322,000322,33.80709,-84.37974,1U,hour,21,11,0,0,3597670,365,9856.63
322,000322,33.80709,-84.37974,1U,hour,22,9,0,0,3132355,365,8581.79
322,000322,33.80709,-84.37974,1U,hour,23,6,0,0,2404975,365,6588.97
77,000077,33.74314,-84.37869,1U,hour,0,4,1,0,359384,88,4083.91
77,000077,33.74314,-84.37869,1U,hour,1,3,0,0,244673,88,2780.38
77,000077,33.74314,-84.37869,1U,hour,2,2,0,0,186724,88,2121.86
77,000077,33.74314,-84.37869,1U,hour,3,1,0,0,170612,88,1938.77
77,000077,33.74314,-84.37869,1U,hour,4,0,0,0,200997,88,2284.06
77,000077,33.74314,-84.37869,1U,hour,5,1,0,0,378570,88,4301.93
77,000077,33.74314,-84.37869,1U,hour,6,3,0,0,655878,88,7453.16
77,000077,33.74314,-84.37869,1U,hour,7,8,0,0,832049,88,9455.1
77,000077,33.74314,-84.37869,1U,hour,8,15,0,0,888757,88,10099.51
77,000077,33.74314,-84.37869,1U,hour,9,8,0,0,924946,88,10510.75
77,000077,33.74314,-84.37869,1U,hour,10,11,0,0,959422,88,10902.52
77,000077,33.74314,-84.37869,1U,hour,11,6,0,0,1010778,88,11486.11
77,000077,33.74314,-84.37869,1U,hour,12,12,0,0,1080701,88,12280.69
77,000077,33.74314,-84.37869,1U,hour,13,7,0,0,1122456,88,12755.18
77,000077,33.74314,-84.37869,1U,hour,14,20,0,0,1180877,88,13419.06
77,000077,33.74314,-84.37869,1U,hour,15,6,0,0,1254261,88,14252.97
77,000077,33.74314,-84.37869,1U,hour,16,18,0,0,1292146,88,14683.48
77,000077,33.74314,-84.37869,1U,hour,17,14,0,0,1274759,88,14485.9
77,000077,33.74314,-84.37869,1U,hour,18,21,0,0,1184474,88,13459.93
77,000077,33.74314,-84.37869,1U,hour,19,8,0,0,1035440,88,11766.36
77,000077,33.74314,-84.37869,1U,hour,20,9,0,0,867731,88,9860.58
77,000077,33.74314,-84.37869,1U,hour,21,6,0,0,737504,88,8380.73
77,000077,33.74314,-84.37869,1U,hour,22,1,0,0,656514,88,7460.39
77,000077,33.74314,-84.37869,1U,hour,23,4,0,0,521414,88,5925.16
86,000086,33.7862,-84.40443,4U,hour,0,2,0,0,3110,7,444.29
86,000086,33.7862,-84.40443,4U,hour,1,1,0,0,2153,7,307.57
86,000086,33.7862,-84.40443,4U,hour,2,1,0,0,1485,7,212.14
86,000086,33.7862,-84.40443,4U,hour,3,0,0,0,1219,7,174.14
86,000086,33.7862,-84.40443,4U,hour,4,0,0,0,795,7,113.57
86,000086,33.7862,-84.40443,4U,hour,5,0,0,0,1255,7,179.29
86,000086,33.7862,-84.40443,4U,hour,6,0,0,0,2499,7,357.0
86,000086,33.7862,-84.40443,4U,hour,7,0,0,0,3886,7,555.14
86,000086,33.7862,-84.40443,4U,hour,8,1,0,0,5030,7,718.57
86,000086,33.7862,-84.40443,4U,hour,9,3,0,0,5304,7,757.71
86,000086,33.7862,-84.40443,4U,hour,10,1,0,0,5557,7,793.86
86,000086,33.7862,-84.40443,4U,hour,11,2,0,0,6121,7,874.43
86,000086,33.7862,-84.40443,4U,hour,12,4,0,0,6590,7,941.43
86,000086,33.7862,-84.40443,4U,hour,13,2,0,0,6806,7,972.29
86,000086,33.7862,-84.40443,4U,hour,14,3,0,0,7050,7,1007.14
86,000086,33.7862,-84.40443,4U,hour,15,5,0,0,6625,7,946.43
86,000086,33.7862,-84.40443,4U,hour,16,2,0,0,6571,7,938.71
86,000086,33.7862,-84.40443,4U,hour,17,3,0,0,6129,7,875.57
86,000086,33.7862,-84.40443,4U,hour,18,3,0,0,6141,7,877.29
86,000086,33.7862,-84.40443,4U,hour,19,2,0,0,6632,7,947.43
86,000086,33.7862,-84.40443,4U,hour,20,3,0,0,6290,7,898.57
86,000086,33.7862,-84.40443,4U,hour,21,2,0,0,5767,7,823.86
86,000086,33.7862,-84.40443,4U,hour,22,1,0,0,5197,7,742.43
86,000086,33.7862,-84.40443,4U,hour,23,1,0,0,4029,7,575.57
9,000009,33.75873,-84.37843,1U,hour,0,4,0,0,2253054,339,6646.18
9,000009,33.75873,-84.37843,1U,hour,1,5,0,0,1526156,339,4501.94
9,000009,33.75873,-84.37843,1U,hour,2,2,0,0,1199418,339,3538.11
9,000009,33.75873,-84.37843,1U,hour,3,2,0,0,1207091,339,3560.74
9,000009,33.75873,-84.37843,1U,hour,4,4,0,0,1550208,339,4572.88
9,000009,33.75873,-84.37843,1U,hour,5,3,0,1,3044617,339,8981.17
9,000009,33.75873,-84.37843,1U,hour,6,8,0,0,4796926,339,14150.22
9,000009,33.75873,-84.37843,1U,hour,7,9,0,0,5335485,339,15738.89
9,000009,33.75873,-84.37843,1U,hour,8,12,0,0,5245946,339,15474.77
9,000009,33.75873,-84.37843,1U,hour,9,11,0,0,5451831,339,16082.1
9,000009,33.75873,-84.37843,1U,hour,10,8,0,0,5760982,339,16994.05
9,000009,33.75873,-84.37843,1U,hour,11,10,0,0,5834803,339,17211.81
9,000009,33.75873,-84.37843,1U,hour,12,13,0,0,5808478,339,17134.15
9,000009,33.75873,-84.37843,1U,hour,13,13,0,0,5804472,339,17122.34
9,000009,33.75873,-84.37843,1U,hour,14,22,0,0,5656473,339,16685.76
9,000009,33.75873,-84.37843,1U,hour,15,20,0,0,5405054,339,15944.11
9,000009,33.75873,-84.37843,1U,hour,16,18,0,0,5201861,339,15344.72
9,000009,33.75873,-84.37843,1U,hour,17,25,0,0,5070014,339,14955.79
9,000009,33.75873,-84.37843,1U,hour,18,17,0,0,5341213,339,15755.79
9,000009,33.75873,-84.37843,1U,hour,19,14,0,0,5479511,339,16163.75
9,000009,33.75873,-84.37843,1U,hour,20,10,1,0,5095982,339,15032.4
9,000009,33.75873,-84.37843,1U,hour,21,6,0,0,4569361,339,13478.94
9,000009,33.75873,-84.37843,1U,hour,22,8,0,0,4058114,339,11970.84
9,000009,33.75873,-84.37843,1U,hour,23,6,0,1,3210696,339,9471.08
R356,00R356,33.79647,-84.39434,1U,hour,0,4,0,1,204044,364,560.56
R356,00R356,33.79647,-84.39434,1U,hour,1,2,0,0,129000,364,354.4
R356,00R356,33.79647,-84.39434,1U,hour,2,1,0,0,96243,364,264.4
R356,00R356,33.79647,-84.39434,1U,hour,3,1,0,0,93351,364,256.46
R356,00R356,33.79647,-84.39434,1U,hour,4,2,0,0,92135,364,253.12
R356,00R356,33.79647,-84.39434,1U,hour,5,2,0,0,213986,364,587.87
R356,00R356,33.79647,-84.39434,1U,hour,6,3,0,0,443097,364,1217.3
R356,00R356,33.79647,-84.39434,1U,hour,7,3,0,0,758419,364,2083.57
R356,00R356,33.79647,-84.39434,1U,hour,8,3,0,0,811819,364,2230.27
R356,00R356,33.79647,-84.39434,1U,hour,9,2,0,0,762520,364,2094.84
R356,00R356,33.79647,-84.39434,1U,hour,10,10,0,0,727735,364,1999.27
R356,00R356,33.79647,-84.39434,1U,hour,11,9,0,0,769817,364,2114.88
R356,00R356,33.79647,-84.39434,1U,hour,12,6,0,0,820538,364,2254.23
R356,00R356,33.79647,-84.39434,1U,hour,13,5,0,0,865363,364,2377.37
R356,00R356,33.79647,-84.39434,1U,hour,14,10,0,0,929159,364,2552.63
R356,00R356,33.79647,-84.39434,1U,hour,15,4,0,0,983810,364,2702.77
R356,00R356,33.79647,-84.39434,1U,hour,16,9,0,0,986895,364,2711.25
R356,00R356,33.79647,-84.39434,1U,hour,17,9,1,0,987154,364,2711.96
R356,00R356,33.79647,-84.39434,1U,hour,18,9,0,0,901046,364,2475.4
R356,00R356,33.79647,-84.39434,1U,hour,19,6,0,0,709272,364,1948.55
R356,00R356,33.79647,-84.39434,1U,hour,20,6,0,1,554935,364,1524.55
R356,00R356,33.79647,-84.39434,1U,hour,21,2,0,0,484835,364,1331.96
R356,00R356,33.79647,-84.39434,1U,hour,22,2,0,0,419455,364,1152.35
R356,00R356,33.79647,-84.39434,1U,hour,23,2,0,0,322489,364,885.96
R357,00R357,33.6864,-84.401,1U,hour,0,0,0,0,477088,365,1307.09
R357,00R357,33.6864,-84.401,1U,hour,1,2,0,0,299761,365,821.26
R357,00R357,33.6864,-84.401,1U,hour,2,1,0,0,193059,365,528.93
R357,00R357,33.6864,-84.401,1U,hour,3,3,1,0,164302,365,450.14
R357,00R357,33.6864,-84.401,1U,hour,4,1,0,1,280999,365,769.86
R357,00R357,33.6864,-84.401,1U,hour,5,3,0,0,569735,365,1560.92
R357,00R357,33.6864,-84.401,1U,hour,6,4,0,0,881561,365,2415.24
R357,00R357,33.6864,-84.401,1U,hour,7,2,0,0,878601,365,2407.13
R357,00R357,33.6864,-84.401,1U,hour,8,4,0,0,905383,365,2480.5
R357,00R357,33.6864,-84.401,1U,hour,9,2,0,0,985949,365,2701.23
R357,00R357,33.6864,-84.401,1U,hour,10,2,0,0,1049216,365,2874.56
R357,00R357,33.6864,-84.401,1U,hour,11,4,0,0,1065739,365,2919.83
R357,00R357,33.6864,-84.401,1U,hour,12,1,0,0,1065184,365,2918.31
R357,00R357,33.6864,-84.401,1U,hour,13,3,0,0,1080111,365,2959.21
R357,00R357,33.6864,-84.401,1U,hour,14,0,0,0,1067145,365,2923.68
R357,00R357,33.6864,-84.401,1U,hour,15,5,0,0,1058357,365,2899.61
R357,00R357,33.6864,-84.401,1U,hour,16,3,0,0,1035625,365,2837.33
R357,00R357,33.6864,-84.401,1U,hour,17,5,0,0,1007717,365,2760.87
R357,00R357,33.6864,-84.401,1U,hour,18,3,0,0,994045,365,2723.41
R357,00R357,33.6864,-84.401,1U,hour,19,2,0,0,1027326,365,2814.59
R357,00R357,33.6864,-84.401,1U,hour,20,2,0,0,1023153,365,2803.16
R357,00R357,33.6864,-84.401,1U,hour,21,1,0,0,930413,365,2549.08
R357,00R357,33.6864,-84.401,1U,hour,22,3,0,0,877952,365,2405.35
