Date,Time,Hour,Year,Month,Day,DayOfWeek,Crash Latitude,Crash Longitude,KABCO Severity,# of Fatalities per Crash,# Serious Injuries,# Visible Injuries,Geolocated City,Geolocated County,Roadway (From Crash Report),Intersection Name (from Crash Report),Manner of Collision (Crash Level),Location at Impact (Crash Level),Light Conditions (Crash Level),Weather Conditions (Crash Level),Surface Condition (Crash Level),Agency Name (Crash Level),Safety Equipment (Crash Level),First Harmful Event (Unit Order),Most Harmful Event (Crash Level),"Operator/Pedestrian Contrib Factor (excl None, Other, No Contrib Factors)",join_id,Crash_to_TMAS_m
2022-01-08,17:22:00,17,2022,1,8,Saturday,33.758184,-84.37845,(C) Possible Injury / Complaint,0.0,0.0,0.0,Atlanta,FULTON,I-75,None and I-75,Rear End,On Roadway - Non-Intersection,Dark-Lighted,Clear,Dry,Atlanta Police Department,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",,9,60.609389271096845
2022-01-08,16:53:00,16,2022,1,8,Saturday,33.798023,-84.395882,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-75,None and I-75,Rear End,On Roadway - Non-Intersection,Daylight,Clear,Dry,Atlanta Police Department,"[""Unknown"",""Unknown"",""Booster Seat (Properly Used)""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Following Too Close,R365,171.61352022236855
2022-01-08,02:15:00,2,2022,1,8,Saturday,33.756698,-84.378642,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-75,None and I-75,Rear End,On Roadway - Non-Intersection,Dawn,Clear,Dry,Atlanta Police Department,"[""Unknown"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Aggressive Driving"",""Driver Condition"",""Reckless Driving"",""Too Fast for Conditions""]",9,226.3135359173298
2022-01-08,20:18:00,20,2022,1,8,Saturday,33.796965,-84.393335,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-85,None and I-85,Sideswipe-Same Direction,On Roadway - Non-Intersection,Dark-Lighted,Cloudy,Wet,Atlanta Police Department,"[""Unknown"",""Unknown"",""Unknown""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Changed Lanes Improperly,R365,99.92881148189682
2022-01-08,18:48:00,18,2022,1,8,Saturday,33.686423,-84.401942,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-85,I-85 and Metropolitan Pkwy,Sideswipe-Same Direction,On Roadway - Non-Intersection,Dark-Lighted,Clear,Dry,Atlanta Police Department,Lap and Shoulder Belt Used,"[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Motor Vehicle in Motion,Changed Lanes Improperly,R357,87.4097589973026
2022-01-09,19:38:00,19,2022,1,9,Sunday,33.742674,-84.403911,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-20,None and I-20,Rear End,Entrance/Exit Ramp,Dark-Lighted,Clear,Wet,Atlanta Police Department,"[""None Used"",""None Used"",""None Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",,315,127.93434394768434
2022-01-09,16:20:00,16,2022,1,9,Sunday,33.796186,-84.39346,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-75,I-75 and I-85 N,Rear End,On Roadway - Non-Intersection,Dark-Lighted,Rain,Water (standing or moving),Atlanta Police Department,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Following Too Close,R356,87.39636964658041
2022-01-09,20:30:00,20,2022,1,9,Sunday,33.794947,-84.393149,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-85,None and I-85,Sideswipe-Same Direction,On Roadway - Non-Intersection,Dark-Lighted,Cloudy,Dry,Atlanta Police Department,"[""Unknown"",""Unknown"",""Unknown"",""Unknown"",""Unknown"",""Unknown""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Too Fast for Conditions"",""Driver Lost Control""]",R378,106.93733289307632
2022-01-09,13:20:00,13,2022,1,9,Sunday,33.760604,-84.377207,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,Andrew Young International Blvd Ne,John Lewis Freedom Pkwy Ne and Andrew Young International Blvd Ne,Sideswipe-Same Direction,On Roadway - Non-Intersection,Dusk,Rain,Wet,Atlanta Police Department,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Changed Lanes Improperly,9,236.8129859081128
2022-01-10,10:20:00,10,2022,1,10,Monday,33.793446,-84.393007,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-75 S,I-75 S and Northside Dr,Sideswipe-Same Direction,On Roadway - Non-Intersection,Daylight,Clear,Dry,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Changed Lanes Improperly,R378,199.95442001865345
2022-01-10,18:09:00,18,2022,1,10,Monday,33.798325,-84.393026,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-85 South,I-75 North and I-85 South,Rear End,On Roadway - Non-Intersection,Dark-Not Lighted,Clear,Dry,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Following Too Close,R365,127.9396490589284
2022-01-10,17:11:00,17,2022,1,10,Monday,33.807222,-84.379854,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-85 North,Ga 13 and I-85 North,Rear End,On Roadway - Non-Intersection,Daylight,Clear,Dry,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Following Too Close,322,18.05547950255302
2022-01-10,17:27:00,17,2022,1,10,Monday,33.79417,-84.392748,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-85 North,I-85 North and 17Th St Overpass,Rear End,On Roadway - Non-Intersection,Daylight,Clear,Dry,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Following Too Close,R378,118.82503208010128
2022-01-10,15:55:00,15,2022,1,10,Monday,33.757394,-84.378365,(C) Possible Injury / Complaint,0.0,0.0,0.0,Atlanta,FULTON,I-7585 Nb,I-7585 Nb and Irwin Street,Rear End,On Roadway - Non-Intersection,Daylight,Clear,Dry,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Unknown""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Following Too Close,9,148.3572733537716
2022-01-10,14:50:00,14,2022,1,10,Monday,33.756704,-84.378301,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-7585 Nb,I-7585 Nb and Irwin Street Ne,Rear End,On Roadway - Non-Intersection,Daylight,Clear,Dry,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Other Interior Distraction (Distracted)"",""Following Too Close""]",9,225.11105887123932
