Station ID,Functional Class,Latitude,Longitude,Year,AADT,Statistics type,Single-Unit Truck AADT,Combo-Unit Truck AADT,% Peak SU Trucks,% Peak CU Trucks,K-Factor,D-Factor,Future AADT,Station Type
"075-0129",4R : Rural Minor Arterial,31.279140,-83.466287,2025,1890,Estimated,173,135,0.975,0.433,0.0958,0.6,2380,Short Term
"075-0132",4R : Rural Minor Arterial,31.307581,-83.473472,2025,1690,Estimated,138,124,1.333,0.969,0.0951,0.51,2130,Short Term
"075-0134",4R : Rural Minor Arterial,31.155100,-83.526776,2025,4460,Estimated,188,630,0.322,0.69,0.0913,0.52,7430,Short Term
"075-0136",4R : Rural Minor Arterial,31.150719,-83.476077,2025,4560,Estimated,333,566,0.377,0.399,0.0998,0.57,6720,Short Term
"075-0138",4R : Rural Minor Arterial,31.141552,-83.449412,2025,5000,Estimated,324,559,0.384,0.384,0.1,0.51,7380,Short Term
"075-0141",3U : Urban Principal Arterial - Other,31.134228,-83.434491,2025,12900,Estimated,803,559,0.518,0.306,0.0928,0.51,27100,Short Term
"075-0143",3U : Urban Principal Arterial - Other,31.136076,-83.426973,2025,10300,Estimated,462,331,0.465,0.277,0.0973,0.5,15400,Short Term
"075-0145",3U : Urban Principal Arterial - Other,31.139216,-83.414995,2025,7760,Estimated,573,405,1.225,0.404,0.1124,0.5,13100,Short Term
"075-0147",3R : Rural Principal Arterial - Other,31.136921,-83.395636,2025,6900,Estimated,516,415,1.465,0.293,0.1146,0.54,8690,Short Term
"075-0149",5R : Rural Major Collector,31.131312,-83.364023,2025,2540,Estimated,177,201,0.877,0.399,0.1109,0.62,3710,Short Term
"075-0152",5R : Rural Major Collector,31.125368,-83.331681,2025,2170,Estimated,157,201,0.977,0.465,0.1042,0.55,3900,Short Term
"075-0154",4R : Rural Minor Arterial,31.066833,-83.484275,2025,1850,Actual,124,253,0.989,1.385,0.0961,0.55,2500,Short Term
"075-0156",4R : Rural Minor Arterial,31.101929,-83.454756,2025,2130,Estimated,140,233,0.808,0.808,0.1042,0.57,3600,Short Term
"075-0158",4U : Urban Minor Arterial,31.127699,-83.433421,2025,5050,Estimated,360,342,0.721,0.58,0.0953,0.66,6870,Short Term
"075-0161",4R : Rural Minor Arterial,31.147774,-83.345782,2025,2520,Estimated,167,181,0.692,0.407,0.0998,0.53,3390,Short Term
"075-0165",1R : Rural Principal Arterial - Interstate,31.036605,-83.397840,2025,54100,Calculated,,,,,,,84300,Short Term
"075-0169",1R : Rural Principal Arterial - Interstate,31.077598,-83.409229,2025,53700,Calculated,,,,,,,84500,Short Term
"075-0172",1U : Urban Principal Arterial - Interstate,31.121100,-83.432100,2025,53300,Calculated,,,,,,,84500,Short Term
"075-0174",1R : Rural Principal Arterial - Interstate,31.149193,-83.443724,2025,52300,Calculated,,,,,,,82800,Short Term
"075-0183",1R : Rural Principal Arterial - Interstate,31.187795,-83.454259,2025,52000,Calculated,,,,,,,81800,Short Term
"075-0185",1R : Rural Principal Arterial - Interstate,31.237900,-83.464903,2025,51500,Calculated,,,,,,,80500,Short Term
"075-0187",1R : Rural Principal Arterial - Interstate,31.294789,-83.477019,2025,51200,Calculated,,,,,,,84100,Short Term
"075-0189",5R : Rural Major Collector,31.090951,-83.542069,2025,730,Estimated,64,24,1.383,0.138,0.1051,0.59,1070,Short Term
"075-0192",5R : Rural Major Collector,31.106995,-83.466953,2025,1300,Estimated,71,199,0.519,0.864,0.1156,0.5,2090,Short Term
"075-0198",5R : Rural Major Collector,31.257254,-83.496550,2025,800,Estimated,,,,,0.0993,0.52,1010,Short Term
"075-0201",5R : Rural Major Collector,31.265387,-83.484242,2025,830,Actual,,,,,0.103,0.51,1470,Short Term
"075-0203",5R : Rural Major Collector,31.270594,-83.469978,2025,2610,Estimated,264,101,0.854,0.272,0.0862,0.57,5530,Short Term
"075-0205",5R : Rural Major Collector,31.273423,-83.439331,2025,700,Estimated,,,,,0.0902,0.51,880,Short Term
"075-0209",5R : Rural Major Collector,31.263115,-83.402455,2025,770,Estimated,,,,,0.0972,0.61,1340,Short Term
"075-0212",6R : Rural Minor Collector,31.287791,-83.493977,2025,310,Estimated,23,7,1.095,0.365,0.1216,0.6,450,Short Term
"075-0214",5U : Urban Major Collector,31.173197,-83.431969,2025,2870,Estimated,110,35,0.564,0.07,0.1011,0.56,3690,Short Term
"075-0216",5R : Rural Major Collector,31.221454,-83.418873,2025,530,Estimated,,,,,0.1205,0.58,670,Short Term
"075-0223",4U : Urban Minor Arterial,31.143448,-83.416248,2025,1910,Estimated,102,10,0.793,0.053,0.1332,0.59,2410,Short Term
"075-0225",4U : Urban Minor Arterial,31.163155,-83.405247,2025,1540,Estimated,138,16,1.441,0,0.1428,0.54,1940,Short Term
"075-0227",5R : Rural Major Collector,31.199168,-83.359366,2025,860,Estimated,49,9,0.347,0.231,0.1215,0.69,1240,Short Term
"075-0229",6R : Rural Minor Collector,31.241879,-83.360116,2025,280,Estimated,,,,,0.112,0.52,350,Short Term
"075-0232",6R : Rural Minor Collector,31.157629,-83.326160,2025,510,Estimated,,,,,0.1275,0.65,640,Short Term
"075-0234",6R : Rural Minor Collector,31.179157,-83.349326,2025,610,Estimated,,,,,0.1343,0.51,770,Short Term
"075-0236",5R : Rural Major Collector,31.077930,-83.343776,2025,1110,Estimated,,,,,0.1,0.59,2960,Short Term
"075-0241",5R : Rural Major Collector,31.113547,-83.391369,2025,1590,Actual,,,,,0.1115,0.55,2000,Short Term
"075-0243",6R : Rural Minor Collector,31.038723,-83.414694,2025,330,Estimated,26,4,2.016,0.336,0.1588,0.65,420,Short Term
"075-0245",6R : Rural Minor Collector,31.044900,-83.394690,2025,2490,Estimated,270,79,0.977,0.081,0.1128,0.58,4340,Short Term
"075-0247",6R : Rural Minor Collector,31.045971,-83.390548,2025,1010,Estimated,,,,,0.1257,0.63,1270,Short Term
"075-0249",6R : Rural Minor Collector,31.042267,-83.341957,2025,600,Actual,40,14,1.159,0.331,0.101,0.52,820,Short Term
"075-0252",6R : Rural Minor Collector,31.283218,-83.431401,2025,450,Estimated,38,19,0.67,0.446,0.1272,0.61,630,Short Term
"075-0254",7R : Rural Local,31.100252,-83.437176,2025,420,Estimated,,,,,0.1297,0.73,530,Short Term
"075-0258",4U : Urban Minor Arterial,31.148533,-83.420865,2025,3240,Estimated,264,32,1.498,0,0.152,0.65,4450,Short Term
