"# Serious Injuries","# Visible Injuries","Agency Name (Crash Level) ","Date","Intersection Name (from Crash Report)","KABCO Severity","Light Conditions (Crash Level)","Location at Impact (Crash Level) ","Manner of Collision (Crash Level) ","Roadway (From Crash Report)","Surface Condition (Crash Level) ","Time","Safety Equipment (Crash Level) ","Weather Conditions (Crash Level)","# of Fatalities per Crash","Latitude","Longitude","Geolocated City","Geolocated County","First Harmful Event (Unit Order)","Operator/Pedestrian Contrib Factor (excl None, Other, No Contrib Factors)","Most Harmful Event (Crash Level)"
0,0,"Atlanta Police Department","2022-06-09","None and Piedmont Ave Ne","(C) Possible Injury / Complaint","Daylight","On Roadway - Roadway Intersection","Rear End","Piedmont Ave Ne","Dry","06:00:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.80707,-84.366403,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Gsp Post 00","2022-06-09","I-75I-85Nb and Peachtree St","(O) No Injury","Daylight","On Roadway - Non-Intersection","Rear End","I-75I-85Nb","Dry","19:40:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.767116,-84.386605,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Gsp Post 00","2022-06-09","I-75 Nb and Mount Paran Road","(O) No Injury","Daylight","On Roadway - Non-Intersection","Rear End","I-75 Nb","Dry","15:30:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.865977,-84.440273,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Gsp Post 00","2022-06-09","I-75 Sb and Deering Road","(C) Possible Injury / Complaint","Daylight","On Roadway - Non-Intersection","Rear End","I-75 Sb","Dry","18:15:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Unknown""]","Clear",0,33.796052,-84.39466,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Changed Lanes Improperly","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-06-09","Cascade Cir Sw and Eastridge Rd Sw","(O) No Injury","Daylight","On Roadway - Non-Intersection","Rear End","Cascade Cir Sw","Dry","18:39:00","Unknown","Clear",0,33.726536,-84.446497,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Parked Motor Vehicle""]","Improper Backing","[""Motor Vehicle in Motion"",""Parked Motor Vehicle""]"
0,0,"Gsp Post 00","2022-06-09","I-285 Sb and Donald Lee Hollowell Pkwy","(C) Possible Injury / Complaint","Daylight","On Roadway - Non-Intersection","Rear End","I-285 Sb","Dry","18:39:00","[""Unknown"",""Lap and Shoulder Belt Used""]","Clear",0,33.768757,-84.494996,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-06-09","Gibson St Se and Bill Kennedy Way Se","(O) No Injury","Daylight","On Roadway - In Crosswalk","Not a Collision with Motor Vehicle","Bill Kennedy Way Se","Dry","17:30:00","[""Unknown"",""Unknown""]","Cloudy",0,33.744053,-84.358229,"Atlanta","FULTON","[""Pedal-Cycle"",""Pedal-Cycle""]","Improper Backing","[""Pedal-Cycle"",""Pedal-Cycle""]"
0,0,"Gsp Post 00","2022-06-09","None and I-75 N Exit Ramp To Ga-166 W","(O) No Injury","Daylight","On Roadway - Non-Intersection","Sideswipe-Same Direction","I-75 N Exit Ramp To Ga-166 W","Dry","17:00:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.696917,-84.405088,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Changed Lanes Improperly","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-06-09","Baker St Nw and Marietta St Nw","(O) No Injury","Dark-Lighted","On Roadway - Roadway Intersection","Rear End","Baker St Nw","Dry","21:00:00","Unknown","Clear",0,33.761308,-84.395984,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Vision Obscured"",""Vision Obscured""]","Motor Vehicle in Motion"
0,0,"Gsp Post 00","2022-06-09","Howell Mill Rd and I-75 Northbound","(C) Possible Injury / Complaint","Daylight","On Roadway - Non-Intersection","Rear End","I-75 Northbound","Dry","10:25:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.803659,-84.409373,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Gsp Post 00","2022-06-09","7585 South and University Ave","(O) No Injury","Daylight","On Roadway - Non-Intersection","Rear End","7585 South","Dry","17:20:00","[""Lap Belt Only Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.715789,-84.398891,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Gsp Post 00","2022-06-09","Ga-13 and I-85Sb","(O) No Injury","Daylight","On Roadway - Non-Intersection","Sideswipe-Same Direction","I-85Sb","Dry","14:30:00","[""Unknown"",""Lap and Shoulder Belt Used"",""Child Restraint System (Properly Used)""]","Cloudy",0,33.773376,-84.390344,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Improper Passing","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-06-09","None and Pharr Rd Ne","(O) No Injury","Dark-Lighted","On Roadway - Non-Intersection","Rear End","Pharr Rd Ne","Dry","21:40:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.837075,-84.380016,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Gsp Post 00","2022-06-09","I-85 N and 17Th St","(O) No Injury","Daylight","On Roadway - Non-Intersection","Sideswipe-Same Direction","I-85 N","Dry","15:05:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.791954,-84.39119,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Changed Lanes Improperly","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Gsp Post 00","2022-06-09","I-7585 Nb and Memorial Dr","(C) Possible Injury / Complaint","Daylight","On Roadway - Non-Intersection","Rear End","I-7585 Nb","Dry","07:05:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.746377,-84.388032,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-06-09","6Th St Ne and Juniper St Ne","(O) No Injury","Daylight","On Roadway - Roadway Intersection","Rear End","Juniper St Ne","Dry","15:00:00","[""Unknown"",""Unknown""]","Clear",0,33.777234,-84.382848,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-06-09","Mt Zion Rd Se and Browns Mill Rd Se","(O) No Injury","Dark-Lighted","Off Roadway","Not a Collision with Motor Vehicle","Mt Zion Rd Se","Dry","23:42:00","[""Unknown"",""Unknown""]","Cloudy",0,33.673494,-84.383426,"Atlanta","FULTON","Curb","Driver Lost Control","Embankment"
0,0,"Atlanta Police Department","2022-06-09","5Th St Nw and Spring St Nw","(C) Possible Injury / Complaint","Daylight","On Roadway - Non-Intersection","Rear End","Spring St Nw","Dry","13:09:00","[""Unknown"",""Unknown""]","Clear",0,33.776896,-84.388792,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-06-09","Airline St Se and Dekalb Ave Ne","(O) No Injury","Daylight","On Roadway - Roadway Intersection","Angle Crash","Dekalb Ave Ne","Dry","18:30:00","[""None Used"",""None Used""]","Clear",0,33.752934,-84.366176,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Changed Lanes Improperly","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-06-09","Peachtree St Ne and Renaissance Pkwy Ne","(C) Possible Injury / Complaint","Dark-Lighted","On Roadway - Roadway Intersection","Rear End","Peachtree St Ne","Dry","20:24:00","[""Unknown"",""Lap and Shoulder Belt Used""]","Clear",0,33.76917,-84.385204,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-06-09","Roswell Rd Ne and Lakeland Dr Nw","(O) No Injury","Daylight","On Roadway - Roadway Intersection","Angle Crash","Lakeland Dr Nw","Dry","09:00:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.848914,-84.382712,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Failure to Yield","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-06-09","Jordan St Se and Jonesboro Rd Se","(C) Possible Injury / Complaint","Daylight","On Roadway - Roadway Intersection","Rear End","Jonesboro Rd Se","Dry","18:21:00","[""Unknown"",""Unknown""]","Clear",0,33.703833,-84.377597,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Gsp Post 00","2022-06-09","I-7585 Sb and Martin Luther King Jr","(O) No Injury","Daylight","On Roadway - Non-Intersection","Rear End","I-7585 Sb","Dry","13:07:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Cloudy",0,33.745098,-84.389775,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Gsp Post 00","2022-06-09","I-7585 South and Martin Luther King Jr Dr","(O) No Injury","Daylight","On Roadway - Non-Intersection","Rear End","I-7585 South","Dry","10:53:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Cloudy",0,33.750389,-84.381829,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Gsp Post 00","2022-06-09","I-285 Sb and Donald Lee Hollowell","(O) No Injury","Daylight","On Roadway - Non-Intersection","Rear End","I-285 Sb","Dry","13:22:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Cloudy",0,33.765008,-84.493853,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Gsp Post 00","2022-06-09","I-7585 Northbound and University Avenue Off Ramp","(O) No Injury","Daylight","On Roadway - Non-Intersection","Rear End","I-7585 Northbound","Dry","10:53:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.726583,-84.393449,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-06-09","Vanira Ave Se and Hank Aaron Dr Se","(O) No Injury","Daylight","On Roadway - Non-Intersection","Rear End","Vanira Ave Se","Dry","16:30:00","[""None Used"",""None Used"",""None Used""]","Clear",0,33.729437,-84.387976,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",,"[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-06-09","Faith Ave Se and Moreland Ave Se","(O) No Injury","Daylight","On Roadway - Non-Intersection","Sideswipe-Same Direction","Moreland Ave Se","Dry","19:00:00","[""Unknown"",""Unknown""]","Cloudy",0,33.743655,-84.349235,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",,"[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Gsp Post 00","2022-06-09","I-75 Northbound Cd Ramp and Cleveland Avenue Off Ramp","(O) No Injury","Daylight","On Roadway - Non-Intersection","Sideswipe-Same Direction","I-75 Northbound Cd Ramp","Dry","06:35:00","[""Unknown"",""Lap and Shoulder Belt Used""]","Clear",0,33.686336,-84.398524,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",,"[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-06-09","14Th St Nw and Williams St Nw","(C) Possible Injury / Complaint","Dark-Lighted","On Roadway - Roadway Intersection","Angle Crash","14Th St Nw","Dry","21:58:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.786698,-84.390415,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Disregard Stop Sign/Signal","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-06-09","Piedmont Ave Ne and Ponce De Leon Ave Ne","(O) No Injury","Daylight","On Roadway - Roadway Intersection","Rear End","Ponce De Leon Ave Ne","Dry","17:49:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.772501,-84.381766,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-06-09","I-75 85 N and Spring St Exit 249D","(O) No Injury","Dark-Lighted","On Roadway - Non-Intersection","Angle Crash","I-75 85 N","Dry","22:30:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Cloudy",0,33.767464,-84.388634,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Changed Lanes Improperly","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-06-09","None and Moreland Ave Se","(O) No Injury","Daylight","On Roadway - Non-Intersection","Rear End","Moreland Ave Se","Dry","15:30:00","[""Unknown"",""Unknown"",""Child Restraint System (Properly Used)""]","Cloudy",0,33.725005,-84.349438,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-06-09","Hill St Se and Dalton St Se","(O) No Injury","Daylight","On Roadway - Roadway Intersection","Angle Crash","Dalton St Se","Dry","15:30:00","[""Unknown"",""Unknown"",""Unknown""]","Clear",0,33.720154,-84.37873,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Disregard Stop Sign/Signal","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-06-09","Seminole Ave Ne and Moreland Ave Ne","(C) Possible Injury / Complaint","Daylight","Off Roadway - Sidewalk","Not a Collision with Motor Vehicle","Moreland Ave Ne","Dry","17:35:00","[""Unknown"",""Unknown""]","Clear",0,33.766424,-84.349059,"Atlanta","FULTON","[""Pedal-Cycle"",""Motor Vehicle in Motion""]","Wrong Side of Road","[""Pedal-Cycle"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-06-09","Boulevard Se and Woodward Ave Se","(O) No Injury","Dark-Lighted","On Roadway - Roadway Intersection","Angle Crash","Woodward Ave Se","Wet","00:30:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Rain",0,33.745466,-84.36812,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Failure to Yield","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Gsp Post 00","2022-06-09","None and I-75 Nb","(O) No Injury","Daylight","On Roadway - Non-Intersection","Rear End","I-75 Nb","Wet","07:18:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Cloudy",0,33.678442,-84.398438,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-06-09","North Ave Nw and Spring St Nw","(O) No Injury","Dark-Lighted","On Roadway - Roadway Intersection","Rear End","Spring St Nw","Dry","02:42:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Cloudy",0,33.771239,-84.388836,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-06-09","8Th St Nw and Spring St Nw","(O) No Injury","Daylight","On Roadway - Non-Intersection","Sideswipe-Opposite Direction","Spring St Nw","Dry","20:20:00","Unknown","Clear",0,33.779612,-84.388828,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Parked Motor Vehicle""]","Wrong Side of Road","Parked Motor Vehicle"
0,0,"Atlanta Police Department","2022-06-09","Florence Pl Nw and Donald Lee Hollowell Pkwy Nw","(C) Possible Injury / Complaint","Daylight","On Roadway - Non-Intersection","Head On","Donald Lee Hollowell Pkwy Nw","Dry","19:00:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.77281,-84.441987,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Failure to Yield","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-06-09","W Lake Ave Sw and Ralph David Abernathy Blvd Sw","(O) No Injury","Dark-Lighted","On Roadway - Roadway Intersection","Rear End","Ralph David Abernathy Blvd Sw","Dry","20:49:00","[""Unknown"",""Unknown""]","Clear",0,33.749556,-84.443916,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Fulton Co Police Department","2022-06-09","I-285 and Donald Lee Hollowell Pkwy","(O) No Injury","Daylight","On Roadway - Non-Intersection","Angle Crash","Donald Lee Hollowell Pkwy","Dry","13:28:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.786511,-84.492424,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Improper Turn","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-06-09","None and I-75","(C) Possible Injury / Complaint","Dark-Lighted","On Roadway - Non-Intersection","Rear End","I-75","Dry","23:40:00","[""Unknown"",""Unknown"",""Unknown"",""Unknown""]","Clear",0,33.74899,-84.383775,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-06-09","Maynard Ter Se and Mcpherson Ave Se","(O) No Injury","Daylight","On Roadway - Roadway Intersection","Angle Crash","Maynard Ter Se","Dry","07:30:00","[""Unknown"",""Lap and Shoulder Belt Used""]","Clear",0,33.743899,-84.33474,"Atlanta","DEKALB","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Improper Turn","Motor Vehicle in Motion"
1,0,"Atlanta Police Department","2022-06-09","Northside Dr Nw and Northside Cir Nw","(A) Suspected Serious Injury","Daylight","Off Roadway","Rear End","Northside Dr Nw","Dry","18:57:00","None Used","Clear",0,33.796762,-84.407847,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",,"[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Gsp Post 00","2022-06-09","I-285 South Entrance Ramp and Donald Lee Hollowell Pkwy Nw","(C) Possible Injury / Complaint","Daylight","On Roadway - Roadway Intersection","Angle Crash","Donald Lee Hollowell Pkwy Nw","Dry","08:16:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Cloudy",0,33.787269,-84.493721,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Failure to Yield","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-06-09","Deering Rd Nw and Northside Dr Nw","(O) No Injury","Daylight","On Roadway - Roadway Intersection","Rear End","Northside Dr Nw","Dry","17:35:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.796249,-84.407849,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Gsp Post 00","2022-06-09","I-75 Nb and Mt Paran Rd","(O) No Injury","Daylight","On Roadway - Non-Intersection","Not a Collision with Motor Vehicle","I-75 Nb","Dry","12:19:00","Lap and Shoulder Belt Used","Cloudy",0,33.872731,-84.44511,"Atlanta","FULTON","Other Non-Collision",,"Other Non-Collision"
0,0,"Atlanta Police Department","2022-06-09","N Highland Ave Ne and Ponce De Leon Ave Ne","(O) No Injury","Daylight","On Roadway - Non-Intersection","Sideswipe-Same Direction","N Highland Ave Ne","Dry","17:30:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Unknown""]","Cloudy",0,33.773388,-84.352519,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",,"[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-06-09","Roswell Rd Ne and Honour Ave Nw","(O) No Injury","Daylight","On Roadway - Non-Intersection","Rear End","Honour Ave Nw","Dry","15:20:00","Lap and Shoulder Belt Used","Cloudy",0,33.851805,-84.382961,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",,"[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-06-09","School Dr Se and Orchard Ln Se","(O) No Injury","Daylight","On Roadway - Roadway Intersection","Angle Crash","School Dr Se","Dry","18:02:00","[""Unknown"",""Unknown""]","Clear",0,33.67191,-84.373674,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Improper Turn","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-06-09","16Th St Nw and Spring St Nw","(O) No Injury","Daylight","On Roadway - Roadway Intersection","Sideswipe-Same Direction","Spring St Nw","Dry","15:40:00","[""Unknown"",""Unknown""]","Clear",0,33.789903,-84.389312,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",,"[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-06-09","None and Peachtree Hills Ave Ne","(O) No Injury","Dark-Not Lighted","On Roadway - Non-Intersection","Angle Crash","Peachtree Hills Ave Ne","Dry","09:40:00","Lap and Shoulder Belt Used","Clear",0,33.817898,-84.377517,"Atlanta","FULTON","[""Parked Motor Vehicle"",""Motor Vehicle in Motion""]","Improper Backing","[""Motor Vehicle in Motion"",""Parked Motor Vehicle""]"
0,0,"Gsp Post 00","2022-06-09","University Avenue and Interstate 7585 North","(O) No Injury","Daylight","On Roadway - Non-Intersection","Rear End","Interstate 7585 North","Dry","06:45:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.728918,-84.392862,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-06-09","Lenox Rd Ne and Piedmont Rd Ne","(O) No Injury","Daylight","On Roadway - Non-Intersection","Rear End","Piedmont Rd Ne","Dry","20:00:00","[""Unknown"",""Unknown"",""Unknown""]","Clear",0,33.848537,-84.374299,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-06-09","14Th St Ne and Piedmont Ave Ne","(O) No Injury","Daylight","On Roadway - Driveway Intersection","Angle Crash","Piedmont Ave Ne","Dry","11:20:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.785982,-84.378198,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Improper Turn","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-06-09","Campbellton Rd Sw and County Line Rd Sw","(O) No Injury","Daylight","On Roadway - Non-Intersection","Angle Crash","County Line Rd Sw","Dry","08:46:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.695988,-84.535268,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Failure to Yield","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-06-09","I-75 and John Wesley Dobbs Ave Ne","(O) No Injury","Dark-Not Lighted","On Roadway - Non-Intersection","Rear End","I-75","Dry","23:02:00","[""Unknown"",""Unknown""]","Clear",0,33.757774,-84.378876,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","Motor Vehicle in Motion"
