"# Serious Injuries","# Visible Injuries","Agency Name (Crash Level) ","Date","Intersection Name (from Crash Report)","KABCO Severity","Light Conditions (Crash Level)","Location at Impact (Crash Level) ","Manner of Collision (Crash Level) ","Roadway (From Crash Report)","Surface Condition (Crash Level) ","Time","Safety Equipment (Crash Level) ","Weather Conditions (Crash Level)","# of Fatalities per Crash","Latitude","Longitude","Geolocated City","Geolocated County","First Harmful Event (Unit Order)","Operator/Pedestrian Contrib Factor (excl None, Other, No Contrib Factors)","Most Harmful Event (Crash Level)"
0,0,"Atlanta Police Department","2022-10-31","None and I-85","(C) Possible Injury / Complaint","Dark-Lighted","Median","Not a Collision with Motor Vehicle","I-85","Wet","05:01:00","[""Unknown"",""Booster Seat (Properly Used)""]","Rain",0,33.683733,-84.409281,"Atlanta","FULTON","Median Barrier","Driver Lost Control","Median Barrier"
0,0,"Gsp Post 00","2022-10-31","I-7585 North and Spring St 249B","(O) No Injury","Daylight","On Roadway - Non-Intersection","Rear End","I-7585 North","Dry","17:00:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Child Restraint System (Properly Used)"",""Child Restraint System (Properly Used)"",""Lap and Shoulder Belt Used""]","Cloudy",0,33.765376,-84.385185,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-10-31","Adina Dr Ne and Lindbergh Dr Ne","(C) Possible Injury / Complaint","Dark-Lighted","On Roadway - Non-Intersection","Rear End","Lindbergh Dr Ne","Dry","00:10:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.820585,-84.363307,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-10-31","16Th St Ne and Peachtree St Ne","Unknown","Dark-Lighted","Off Roadway","Not a Collision with Motor Vehicle","16Th St Ne","Wet","05:30:00",,"Rain",0,33.790598,-84.385114,"Atlanta","FULTON","Other Non-Collision","Too Fast for Conditions","Tree"
0,0,"Atlanta Police Department","2022-10-31","Mill Walk Nw and Moores Mill Rd Nw","(O) No Injury","Daylight","On Roadway - Roadway Intersection","Rear End","Moores Mill Rd Nw","Water (standing or moving)","08:00:00","[""Unknown"",""Unknown""]","Cloudy",0,33.842887,-84.411207,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-10-31","Wylie St Se and Moreland Ave Se","(O) No Injury","Daylight","On Roadway - Non-Intersection","Angle Crash","Wylie St Se","Dry","12:30:00","[""None Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.752369,-84.349224,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",,"[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-11-01","Dekalb Ave Ne and Norwood Ave Ne","(O) No Injury","Dark-Lighted","On Roadway - Non-Intersection","Rear End","Dekalb Ave Ne","Dry","02:00:00","[""Unknown"",""Unknown""]","Clear",0,33.762459,-84.320723,"Atlanta","DEKALB","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-11-01","Lee St Sw and Ralph David Abernathy Blvd Sw","(C) Possible Injury / Complaint","Dark-Lighted","On Roadway - In Crosswalk","Not a Collision with Motor Vehicle","Ralph David Abernathy Blvd Sw","Dry","20:45:00","[""Unknown"",""None Used""]","Clear",0,33.738244,-84.414055,"Atlanta","FULTON","[""Pedestrian"",""Motor Vehicle in Motion""]","Aggressive Driving","Pedestrian"
0,0,"Atlanta Police Department","2022-11-01","W Lake Ave Nw and Springview Rd Nw","(O) No Injury","Dark-Not Lighted","Off Roadway - Sidewalk","Not a Collision with Motor Vehicle","W Lake Ave Nw","Dry","04:55:00","Unknown","Clear",0,33.760228,-84.443357,"Atlanta","FULTON","Deer","Under the Influence (U.I.)","Deer"
0,0,"Atlanta Police Department","2022-11-01","10Th St Nw and Techwood Dr Nw","(C) Possible Injury / Complaint","Dark-Not Lighted","On Roadway - Non-Intersection","Rear End","Techwood Dr Nw","Dry","19:00:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.7821,-84.391585,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-11-01","10Th St Nw and Spring St Nw","(O) No Injury","Daylight","On Roadway - Non-Intersection","Angle Crash","Spring St Nw","Dry","14:00:00","[""Unknown"",""Unknown""]","Clear",0,33.781288,-84.38913,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Gsp Post 00","2022-11-01","I-20 Eb and Mcdaniel St","(C) Possible Injury / Complaint","Daylight","On Roadway - Non-Intersection","Rear End","I-20 Eb","Dry","16:10:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.742488,-84.403803,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-11-01","16Th St Nw and W Peachtree St Ne","(O) No Injury","Daylight","On Roadway - Non-Intersection","Sideswipe-Same Direction","W Peachtree St Ne","Dry","12:05:00","Lap and Shoulder Belt Used","Clear",0,33.789914,-84.387783,"Atlanta","FULTON","[""Parked Motor Vehicle"",""Motor Vehicle in Motion""]","Misjudged Clearance","[""Parked Motor Vehicle"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-11-01","None and Marietta Blvd Nw","(O) No Injury","Daylight","On Roadway - Non-Intersection","Angle Crash","Marietta Blvd Nw","Dry","15:23:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.819882,-84.452374,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Failure to Yield","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-11-01","14Th St Ne and W Peachtree St Nw","(O) No Injury","Daylight","On Roadway - Roadway Intersection","Angle Crash","W Peachtree St Nw","Dry","17:40:00","Lap and Shoulder Belt Used","Clear",0,33.786614,-84.387808,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Improper Passing","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
1,0,"Atlanta Police Department","2022-11-01","14Th St Nw and State St Nw","(A) Suspected Serious Injury","Daylight","Off Roadway","Not a Collision with Motor Vehicle","14Th St Nw","Dry","15:52:00","Unknown","Clear",0,33.786192,-84.398502,"Atlanta","FULTON","Utility Pole","[""Driver Condition"",""Too Fast for Conditions"",""Inattentive or Other Distraction (Distracted)""]","Utility Pole"
0,0,"Gsp Post 00","2022-11-01","None and I-20 Entrance Ramp To I-7585","(O) No Injury","Daylight","On Roadway - Non-Intersection","Rear End","I-20 Entrance Ramp To I-7585","Dry","07:44:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.747397,-84.386235,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Improper Backing","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-11-01","Division St Nw and Joseph E Lowery Blvd Nw","(C) Possible Injury / Complaint","Daylight","On Roadway - Non-Intersection","Rear End","Division St Nw","Dry","15:00:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.764284,-84.41747,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Gsp Post 00","2022-11-01","I-75 S and Deering Rd","(O) No Injury","Daylight","On Roadway - Non-Intersection","Sideswipe-Same Direction","I-75 S","Dry","17:10:00","[""Unknown"",""Lap and Shoulder Belt Used""]","Clear",0,33.79715,-84.395393,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Changed Lanes Improperly","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Gsp Post 00","2022-11-01","I-7585 North and Martin Luther King Jr Dr Overp","(C) Possible Injury / Complaint","Dark-Lighted","On Roadway - Non-Intersection","Rear End","I-7585 North","Dry","06:58:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.748693,-84.383762,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
